Country or region,Avg. Rank,Avg. Happiness,Avg. GDP,Avg. Family,Avg. Health,Avg. Freedom,Avg. Generosity,Avg. Corruption
Switzerland,3.6,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964233,0.6206421153335573,0.2774318556518554,0.3797634570713044
Iceland,3.2,7.511000037384034,1.3865226040802,1.4928128014068602,0.9177444244232179,0.6180345270652771,0.4191240441474914,0.1401453118944168
Denmark,2.2,7.545999967193604,1.396728602554322,1.4476883185043339,0.8652491049156188,0.6259593444900512,0.3188760977458954,0.42937401363372796
Norway,2.8,7.541000035858154,1.519380636871338,1.431074711914062,0.8733333005905152,0.6380485174789428,0.328990447462082,0.34395076690483106
Canada,6.8,7.350599996948242,1.388128883255004,1.3874117982788081,0.90055753049469,0.6109541824188232,0.38959794448852536,0.3058463032455444
Finland,3.6,7.537799972534181,1.356960385032654,1.4344293450164798,0.8738355339088442,0.6215361713371277,0.217782554517746,0.39847430858802796
Netherlands,6.2,7.4045999710083,1.4110129270782479,1.349645844657898,0.8785692250061036,0.5896508976211547,0.4151499659557342,0.29861436508369443
Sweden,8.6,7.319199983978272,1.403981453804016,1.3685744338912962,0.8989910316619873,0.6175808197937013,0.336511850435257,0.39750174572181696
New Zealand,8.2,7.313000025939942,1.3175092096023557,1.439729024734498,0.8916179411087036,0.6177824260902404,0.43280502519989017,0.4000153404254914
Australia,10.0,7.276199983978271,1.3948849870224,1.4090063904266361,0.9145293585319522,0.6050434764595031,0.4160778499965668,0.3145727460727692
Israel,13.0,7.142199964141847,1.303722484680176,1.3219179927444462,0.9026887999610901,0.41749972076606756,0.3199365309906006,0.12087442001199722
Costa Rica,12.6,7.126199999237061,1.0356552565231318,1.3151607302474981,0.8322478530845642,0.5912283299942016,0.1964226458072662,0.10108131789922718
Austria,12.0,7.142000008392334,1.398341452667236,1.36396299269104,0.8836796838417055,0.576929237915039,0.29240046434974676,0.21426007308769224
Mexico,21.4,6.725200013732911,1.079360763572692,1.0829944319458,0.7715697995414732,0.4367260016727448,0.10441608655977239,0.13948882292175296
United States,15.8,6.998800006103517,1.455945856803894,1.3285701127395622,0.8216153255538939,0.5068821046676636,0.3550797561302186,0.14084375766849522
Brazil,23.0,6.6578000457763675,1.033226642089844,1.323311200904846,0.6809444705810546,0.4430387493591308,0.134969978928566,0.1203925522317886
Luxembourg,17.2,6.935999983215332,1.6376747195587158,1.343240733169556,0.9034898990364073,0.5838315782127379,0.2458461963748932,0.337420884803772
Ireland,16.4,6.964400047302246,1.4604153278579723,1.445056223068238,0.878932524848938,0.5721920684051514,0.388299664571762,0.29979163066291803
Belgium,17.6,6.92139995880127,1.3753981521530159,1.3574925396728517,0.8828703738708497,0.5387621444778443,0.20888066752433776,0.23784462621307378
United Kingdom,17.8,6.910000045013429,1.337566787948608,1.3679320160293582,0.8817351877861022,0.5037600071640014,0.4246908317432404,0.2440176132507324
Venezuela,71.8,5.5314,1.052468240196228,1.323263518997192,0.6837408454055786,0.213709424648285,0.05718592597913742,0.07144422459220887
Singapore,28.0,6.542800005340576,1.592137533981324,1.2310788726959219,1.0141864789848327,0.553412113899231,0.30321519629669175,0.46725555700683596
Panama,27.6,6.53800002822876,1.1482676871948239,1.2881625097503662,0.7760232269210816,0.5388793668022156,0.186139387848854,0.0729827847943306
Germany,18.0,6.92900004272461,1.395342676742554,1.359526070281982,0.8707361463508606,0.5585882768974304,0.2913858340091706,0.2651343876247406
Chile,24.4,6.5893999900817875,1.1733269219589242,1.202872990768432,0.8449759407806395,0.396821055738449,0.27204848424530026,0.08849759642124175
Qatar,32.0,6.4218,1.743691137207032,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.2912167740077972,0.35597385112190244
France,27.8,6.515199982452392,1.3441166923828118,1.3182473703308102,0.9162411703567503,0.4883904231033326,0.11673646136188501,0.18320848565864561
Argentina,31.2,6.4593999954223635,1.1110350925216683,1.330960229034424,0.7608954167060852,0.4816198407802582,0.092371412138939,0.06430797754287719
Czech Republic,24.4,6.654600041198731,1.268562470413208,1.32484904334259,0.8274068006210328,0.4737532347335816,0.08085135177850725,0.03465058541989326
Uruguay,30.6,6.4311999992370605,1.135557939048768,1.315311573806762,0.7829293647155762,0.574978450870514,0.1690113858146668,0.18851637454414363
Colombia,36.0,6.339999974822997,0.9929104649887082,1.30261058733368,0.6716775847167968,0.49209948301506046,0.1374568945922852,0.04497174837040903
Thailand,39.4,6.28659995727539,1.050013754310608,1.3123204911346438,0.7139778058815002,0.5652741463508606,0.4916766220588684,0.029762547048330302
Saudi Arabia,33.4,6.37599997253418,1.439512711036682,1.1813795197906498,0.6662136659469604,0.4174541144886016,0.12344920277690878,0.231550450958252
Spain,34.6,6.351399975585938,1.298807572868348,1.3994661804656983,0.9501081199798584,0.4109482460899354,0.1688107143249512,0.06985281942605973
Malta,27.6,6.533999990081787,1.2856999677124021,1.386846332992554,0.8790608473510743,0.5902714103393554,0.4811241150169372,0.1514932137775422
Taiwan,31.2,6.39719998626709,1.3709793065109261,1.2505950706787101,0.8471868468666075,0.3703273173179626,0.2320140950603486,0.07728384714651107
Kuwait,43.0,6.148600003814698,1.555662490341186,1.184643749717712,0.6951431416244505,0.5059975185203551,0.17184395958042137,0.18218791006183618
Trinidad & Tobago,39.8,6.177600044250488,1.270581180152894,1.3036917038879399,0.5875786583251954,0.5252001486053466,0.2638172923164368,0.013554963221669197
El Salvador,41.6,6.124199956512452,0.8296048991661072,1.097989018310546,0.6594777105560301,0.41992850593376163,0.08638959708261491,0.09397419197845457
Guatemala,33.6,6.34379999923706,0.8066143891944886,1.141467038726806,0.6157759979515076,0.5502861235847474,0.24009167856597902,0.08159065571641923
Uzbekistan,45.0,6.0462000389099115,0.7237582175445556,1.434099829917908,0.5917245255184174,0.6559877325897217,0.32752272942161553,0.2674236446313858
Slovakia,41.4,6.108400009918212,1.246006711509704,1.3797458484497078,0.7724845822219847,0.3070474929180146,0.13656889618396761,0.02319817032790184
Japan,52.4,5.9258000152587895,1.3377450356597902,1.326999565727234,0.9790991742172241,0.49347710919570914,0.095572553630352,0.1648421473169326
South Korea,54.0,5.885399964141846,1.314553688591004,1.046190888153076,0.9486088152084349,0.24893633318138125,0.1860968734378814,0.06520253371810913
Ecuador,48.2,5.991999979400633,0.9277800796661382,1.157387762741088,0.7533032444725035,0.47952763971138,0.12125249300479882,0.1416809294977188
Bahrain,42.4,6.113799978637696,1.390482452201844,1.24346409224701,0.7252506069412232,0.5190833838310243,0.2031516973667144,0.21075243391418463
Italy,46.2,6.022400045013428,1.3118313237838741,1.334672656333924,0.9287248695335389,0.2438161425361634,0.17257192963504803,0.02811961828315258
Bolivia,58.2,5.813199990844726,0.7672613132095336,1.0951638103866579,0.539306049900055,0.5518965853691102,0.18518014494705198,0.06878754523229598
Moldova,60.2,5.758599964141846,0.6714241260528564,1.1454851142120361,0.6179630401802063,0.2595858097696304,0.19405182528114323,0.009054257230520241
Paraguay,64.0,5.666600006103516,0.8552234634552001,1.38403297593689,0.6430361386642456,0.5059695583515168,0.2331021315307618,0.0802891826877594
Kazakhstan,57.6,5.838399953460694,1.1905052539291379,1.2972438031387319,0.6367163101272585,0.4446288566474914,0.15286888461208342,0.1064285772771836
Slovenia,55.0,5.887999979400634,1.2605311909103398,1.3622997641525258,0.8529416455993651,0.5819531615142822,0.21146181865406044,0.045469795757770534
Lithuania,52.0,5.929799990081788,1.233202469573974,1.367415221321106,0.708193988040924,0.25558835698795324,0.025164931335270403,0.01767512857061624
Nicaragua,46.8,6.027400019836426,0.6772778407745361,1.193653141937256,0.716673192123413,0.4860243693008422,0.2571108433971406,0.14835559636878962
Peru,63.0,5.728400030517578,0.96508705443573,1.105782076957702,0.7036552226753234,0.4449965757808686,0.11938194298076618,0.04417181730818748
Belarus,68.2,5.597999953460694,1.085019511993408,1.338153043235778,0.6987668533554078,0.30153805237579345,0.120003501821518,0.1635567643346786
Poland,49.0,5.980800009918212,1.2090375725555418,1.331608394065856,0.7668170695991516,0.5064924223175049,0.1390971933164596,0.05408556123876572
Malaysia,53.0,5.904000022125244,1.209899083953858,1.132825206848144,0.6926768855285643,0.43736299649238575,0.3466197859268188,0.06888414162540436
Croatia,74.0,5.458600044250488,1.152317246681214,0.959862601486206,0.769115704257965,0.28593445852279664,0.1451565952358246,0.03368462200903892
Libya,68.0,5.597000019073485,1.065826612869262,1.215988866020202,0.5946018039398193,0.4402266460227966,0.1509787332906724,0.12124604203605653
